eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,type,probability,fuzzy
h22,T4,CERES995,1730,7,8,10,,,,-71.63,-33.05,,,,,,8.74,0.2,stochastic,0.0659340659,
h23,T4,CERES995,1822,11,20,2,30,,,-71.63,-33.05,,,,,,8.25,0.2,stochastic,0.0659340659,
h14,T4,CERES995,1906,8,17,0,40,0,,-72,-33,,,,25,,8.19,0.6,stochastic,0.0659340659,
h38,T4,ISCGE013,1943,4,6,16,7,18.81,,-71.475,-31.432,,,,35,,8.1,0.4,stochastic,0.0659340659,
h13,T4,CERES995,1647,5,14,2,30,,,-72,-33,,,,,,8,0.2,stochastic,0.0659340659,
15275,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1985,3,3,22,47,8.77,,-71.858,-33.257,9.3,7.6,104,35,9.2,8,0.1,stochastic,0.0659340659,
6062,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1971,7,9,3,3,0.68,,-71.076,-32.601,6.3,5.3,101,60,5,7.8,0.3,stochastic,0.0659340659,
h9,T4,ISCGE013,1928,12,1,4,6,10,,-72.105,-35.155,,,,25,,7.7,0.4,stochastic,0.1538461538,
h40,T4,CERES995,1851,4,2,10,48,,,-71.42,-33.32,,,,,,7.51,0.2,stochastic,0.1538461538,
h45,T4,CERES995,1880,8,15,12,48,,,-71.18,-31.62,,,,,,7.51,0.2,stochastic,0.1538461538,
h143,T4,CERES995,1894,10,27,19,30,,,-68.4,-30.5,,,,30,,7.51,0.2,stochastic,0.1538461538,
h1,T4,CERES995,1914,1,30,3,36,0,,-73,-35,,,,,,7.5,0.6,stochastic,0.1538461538,
817,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1965,3,28,16,33,6.16,,-71.233,-32.522,6.6,4.4,95,70,6.2,7.4,0.3,stochastic,0.1538461538,
15281,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1985,3,4,0,32,2.96,,-71.707,-33.18,15.8,9.8,89,35,20.9,7.4,0.1,stochastic,0.1538461538,
h27,T4,CERES995,1822,11,25,12,15,0,,-71.629,-33.049,,,,,,7.37,0.6,stochastic,0.1538461538,
h43,T4,CERES995,1847,3,8,15,0,0,,-71.269,-32.45,,,,,,7.37,0.6,stochastic,0.1538461538,
80779,ISC,ISC|ISCJB-Ms,2010,2,27,7,57,40.1,1.08,-73.031,-35.958,50.1,31.38,75,28,,7.28,0.15,stochastic,0.1538461538,
h57,T4,CERES995,1687,7,12,7,,,,-70.73,-32.75,,,,,,7.26,0.2,stochastic,0.1538461538,
h59,T4,CERES995,1575,3,17,6,,,,-70.6,-33.4,,,,,,7.26,0.2,stochastic,0.1538461538,
h71,T4,CERES995,1850,12,6,10,52,,,-70.22,-33.81,,,,,,7.26,0.2,stochastic,0.1538461538,
h37,T4,ISCGE013,1931,3,18,8,2,26.59,,-71.478,-33.778,,,,35,,7.21,0.22,stochastic,0.4835164835,
h103,T4,CERES995,1927,4,14,6,23,28,,-69.5,-32,,,,110,,7.11,0.2,stochastic,0.4835164835,
12725,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1981,10,16,3,25,4.23,,-72.993,-33.137,6.2,4.8,104,35,4.9,7.1,0.1,stochastic,0.4835164835,
15594,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1985,4,9,1,57,1.39,,-71.551,-34.084,6.1,5.1,121,45,4.9,7.1,0.1,stochastic,0.4835164835,
33542,GUC,GUC|ISC-GEM-Mw,1997,10,15,1,3,31.3,,-71.315,-30.773,0,0,0,56,0,7.1,0.1,stochastic,0.4835164835,
93897,GUC,GUC|GCMT-Mw,2012,3,25,22,37,6.7,,-72.217,-35.2,0,0,0,40,0,7.1,0,stochastic,0.4835164835,
h3,T4,CERES995,1917,2,15,0,48,24,,-73,-30,,,,,,7.01,0.2,stochastic,0.4835164835,
