sid,poe50y,Lon,Lat,Mag,poe
0,0.1,-74.60000000000001,-35.8,5.0,0.0
0,0.1,-74.60000000000001,-35.8,5.5,0.0
0,0.1,-74.60000000000001,-35.8,6.0,0.0
0,0.1,-74.60000000000001,-35.8,6.5,0.0
0,0.1,-74.60000000000001,-35.8,7.0,0.0
0,0.1,-74.60000000000001,-35.8,7.5,0.0
0,0.1,-74.60000000000001,-35.8,8.0,0.0
0,0.1,-74.60000000000001,-35.8,8.5,0.0
0,0.1,-74.60000000000001,-35.8,9.0,0.0
0,0.1,-74.60000000000001,-35.6,5.0,0.0
0,0.1,-74.60000000000001,-35.6,5.5,0.0
0,0.1,-74.60000000000001,-35.6,6.0,0.0
0,0.1,-74.60000000000001,-35.6,6.5,0.0
0,0.1,-74.60000000000001,-35.6,7.0,0.0
0,0.1,-74.60000000000001,-35.6,7.5,0.0
0,0.1,-74.60000000000001,-35.6,8.0,0.0
0,0.1,-74.60000000000001,-35.6,8.5,0.0
0,0.1,-74.60000000000001,-35.6,9.0,0.0
0,0.1,-74.60000000000001,-35.4,5.0,0.0
0,0.1,-74.60000000000001,-35.4,5.5,0.0
0,0.1,-74.60000000000001,-35.4,6.0,0.0
0,0.1,-74.60000000000001,-35.4,6.5,0.0
0,0.1,-74.60000000000001,-35.4,7.0,0.0
0,0.1,-74.60000000000001,-35.4,7.5,0.0
0,0.1,-74.60000000000001,-35.4,8.0,0.0
0,0.1,-74.60000000000001,-35.4,8.5,0.0
0,0.1,-74.60000000000001,-35.4,9.0,0.0
0,0.1,-74.60000000000001,-35.199999999999996,5.0,0.0
0,0.1,-74.60000000000001,-35.199999999999996,5.5,0.0
0,0.1,-74.60000000000001,-35.199999999999996,6.0,0.0
0,0.1,-74.60000000000001,-35.199999999999996,6.5,0.0
0,0.1,-74.60000000000001,-35.199999999999996,7.0,0.0
0,0.1,-74.60000000000001,-35.199999999999996,7.5,0.0
0,0.1,-74.60000000000001,-35.199999999999996,8.0,0.0
0,0.1,-74.60000000000001,-35.199999999999996,8.5,0.0
0,0.1,-74.60000000000001,-35.199999999999996,9.0,0.0
0,0.1,-74.60000000000001,-35.0,5.0,0.0
0,0.1,-74.60000000000001,-35.0,5.5,0.0
0,0.1,-74.60000000000001,-35.0,6.0,0.0
0,0.1,-74.60000000000001,-35.0,6.5,0.0
0,0.1,-74.60000000000001,-35.0,7.0,0.0
0,0.1,-74.60000000000001,-35.0,7.5,0.0
0,0.1,-74.60000000000001,-35.0,8.0,0.0
0,0.1,-74.60000000000001,-35.0,8.5,0.0
0,0.1,-74.60000000000001,-35.0,9.0,0.0
0,0.1,-74.60000000000001,-34.8,5.0,0.0
0,0.1,-74.60000000000001,-34.8,5.5,0.0
0,0.1,-74.60000000000001,-34.8,6.0,0.0
0,0.1,-74.60000000000001,-34.8,6.5,0.0
0,0.1,-74.60000000000001,-34.8,7.0,0.0
0,0.1,-74.60000000000001,-34.8,7.5,0.0
0,0.1,-74.60000000000001,-34.8,8.0,0.0
0,0.1,-74.60000000000001,-34.8,8.5,0.0
0,0.1,-74.60000000000001,-34.8,9.0,0.0
0,0.1,-74.60000000000001,-34.6,5.0,0.0
0,0.1,-74.60000000000001,-34.6,5.5,0.0
0,0.1,-74.60000000000001,-34.6,6.0,0.0
0,0.1,-74.60000000000001,-34.6,6.5,0.0
0,0.1,-74.60000000000001,-34.6,7.0,0.0
0,0.1,-74.60000000000001,-34.6,7.5,0.0
0,0.1,-74.60000000000001,-34.6,8.0,0.0
0,0.1,-74.60000000000001,-34.6,8.5,0.0
0,0.1,-74.60000000000001,-34.6,9.0,0.0
0,0.1,-74.60000000000001,-34.4,5.0,0.0
0,0.1,-74.60000000000001,-34.4,5.5,0.0
0,0.1,-74.60000000000001,-34.4,6.0,0.0
0,0.1,-74.60000000000001,-34.4,6.5,0.0
0,0.1,-74.60000000000001,-34.4,7.0,0.0
0,0.1,-74.60000000000001,-34.4,7.5,0.0
0,0.1,-74.60000000000001,-34.4,8.0,0.0
0,0.1,-74.60000000000001,-34.4,8.5,0.0
0,0.1,-74.60000000000001,-34.4,9.0,0.0
0,0.1,-74.60000000000001,-34.199999999999996,5.0,0.0
0,0.1,-74.60000000000001,-34.199999999999996,5.5,0.0
0,0.1,-74.60000000000001,-34.199999999999996,6.0,0.0
0,0.1,-74.60000000000001,-34.199999999999996,6.5,0.0
0,0.1,-74.60000000000001,-34.199999999999996,7.0,0.0
0,0.1,-74.60000000000001,-34.199999999999996,7.5,0.0
0,0.1,-74.60000000000001,-34.199999999999996,8.0,0.0
0,0.1,-74.60000000000001,-34.199999999999996,8.5,0.0
0,0.1,-74.60000000000001,-34.199999999999996,9.0,0.0
0,0.1,-74.60000000000001,-34.0,5.0,0.0
0,0.1,-74.60000000000001,-34.0,5.5,0.0
0,0.1,-74.60000000000001,-34.0,6.0,0.0
0,0.1,-74.60000000000001,-34.0,6.5,0.0
0,0.1,-74.60000000000001,-34.0,7.0,0.0
0,0.1,-74.60000000000001,-34.0,7.5,0.0
0,0.1,-74.60000000000001,-34.0,8.0,0.0
0,0.1,-74.60000000000001,-34.0,8.5,0.0
0,0.1,-74.60000000000001,-34.0,9.0,0.0
0,0.1,-74.60000000000001,-33.8,5.0,0.0
0,0.1,-74.60000000000001,-33.8,5.5,0.0
0,0.1,-74.60000000000001,-33.8,6.0,0.0
0,0.1,-74.60000000000001,-33.8,6.5,0.0
0,0.1,-74.60000000000001,-33.8,7.0,0.0
0,0.1,-74.60000000000001,-33.8,7.5,0.0
0,0.1,-74.60000000000001,-33.8,8.0,0.0
0,0.1,-74.60000000000001,-33.8,8.5,0.0
0,0.1,-74.60000000000001,-33.8,9.0,0.0
0,0.1,-74.60000000000001,-33.6,5.0,0.0
0,0.1,-74.60000000000001,-33.6,5.5,0.0
0,0.1,-74.60000000000001,-33.6,6.0,0.0
0,0.1,-74.60000000000001,-33.6,6.5,0.0
0,0.1,-74.60000000000001,-33.6,7.0,0.0
0,0.1,-74.60000000000001,-33.6,7.5,0.0
0,0.1,-74.60000000000001,-33.6,8.0,0.0
0,0.1,-74.60000000000001,-33.6,8.5,0.0
